iter	MAE	RMSE
1700	3.17933338	4.527621086
1705	3.178777407	4.526880609
1710	3.17854502	4.526622165
1715	3.178232867	4.526242461
1720	3.177859293	4.525771781
1725	3.177427224	4.52519012
1730	3.177157081	4.524830275
1735	3.176826848	4.52443091
1740	3.176380952	4.523804407
1745	3.176145109	4.52353991
1750	3.175719687	4.522974187
1755	3.175241354	4.522333136
1760	3.17484066	4.521796427
1765	3.174553766	4.521483827
1770	3.174286814	4.52114086
1775	3.173998856	4.520793162
1780	3.173705847	4.520415556
1785	3.173048038	4.519675311
1790	3.172761676	4.51928255
1795	3.172497117	4.51893918
1800	3.172345295	4.518698641
1805	3.171922532	4.518185747
1810	3.171500832	4.517574151
1815	3.171279081	4.51727515
1820	3.171044302	4.516972127
1825	3.17055161	4.516327869
1830	3.170276947	4.515982626
1835	3.170018769	4.515615924
1840	3.169792764	4.515331161
1845	3.169432751	4.514931427
1850	3.169117141	4.514499382
1855	3.168822536	4.514137272
1860	3.168598924	4.513866789
1865	3.168276401	4.513463862
1870	3.168105434	4.51326427
1875	3.167768022	4.512870716
1880	3.167421569	4.512438945
1885	3.167201679	4.512113676
1890	3.166939247	4.511822563
1895	3.166711646	4.511538033
1900	3.1662716	4.511045779
1905	3.165848838	4.510448306
1910	3.165406399	4.509885421
1915	3.165272391	4.509734725
1920	3.164893766	4.50916326
1925	3.164583473	4.50881912
1930	3.164276372	4.508461978
1935	3.163990542	4.50810127
1940	3.163770386	4.50779645
1945	3.163586923	4.507581742
1950	3.163457435	4.507410913
1955	3.163185431	4.507085517
1960	3.162944802	4.506795023
1965	3.162545703	4.506265905
1970	3.16220962	4.50571784
1975	3.162093426	4.50552782
1980	3.161888426	4.505256112
1985	3.161364094	4.504672746
1990	3.161208549	4.504476542
1995	3.160970313	4.504163212
2000	3.160591953	4.503739108
2005	3.160355312	4.503433048
2010	3.160265708	4.503318507
2015	3.160143133	4.503125315
2020	3.159883892	4.5028374
2025	3.159508723	4.502438447
2030	3.159160143	4.501999061
2035	3.158730467	4.501484263
2040	3.158563223	4.501252479
2045	3.158414325	4.501071485
2050	3.158180077	4.500772569
2055	3.158009111	4.500582103
2060	3.157660797	4.499996004
2065	3.157367788	4.499575526
2070	3.15709472	4.499223324
2075	3.156902748	4.499006316
2080	3.156653877	4.49862239
2085	3.15627791	4.498184759
2090	3.156111464	4.497931524
2095	3.155904602	4.497626488
2100	3.155544057	4.497055613
2105	3.1552218	4.496572417
2110	3.15507051	4.496403534
2115	3.154847961	4.496046116
2120	3.154667688	4.495816417
2125	3.154427059	4.495524723
2130	3.15405189	4.495070465
2135	3.153704374	4.494660883
2140	3.153545638	4.494420465
2145	3.153381585	4.4942205
2150	3.153291449	4.494091525
2155	3.152859912	4.493566354
2160	3.152481818	4.493104323
2165	3.152243582	4.49277647
2170	3.151879314	4.492292341
2175	3.151722972	4.492100805
2180	3.151475429	4.491786376
2185	3.151088561	4.491330792
2190	3.150844742	4.491068408
2195	3.150641337	4.49083656
2200	3.150490312	4.490652067
2205	3.150327056	4.490414987
2210	3.149952419	4.489870673
2215	3.149788366	4.48964279
2220	3.149524604	4.489389309
2225	3.149420642	4.489242663
2230	3.149268022	4.489027305
2235	3.149157678	4.488859324
2240	3.148837016	4.48837335
2245	3.148563417	4.488070034
2250	3.148275194	4.487670952
2255	3.147840998	4.487162807
2260	3.147468222	4.486651759
2265	3.147293533	4.486439596
2270	3.147058221	4.486148714
2275	3.146883267	4.485917797
2280	3.14654027	4.485460669
2285	3.146400679	4.485241809
2290	3.146270127	4.485083883
2295	3.145993337	4.484695919
2300	3.145871826	4.48454319
2305	3.145639971	4.484279461
2310	3.145395886	4.48396638
2315	3.1451518	4.483638571
2320	3.144940152	4.483390681
2325	3.14475403	4.483197342
2330	3.144458096	4.48279237
2335	3.144336053	4.482654524
2340	3.143843096	4.482035233
2345	3.143744451	4.481909229
2350	3.143530145	4.481619714
2355	3.143321954	4.481347506
2360	3.14311137	4.481067448
2365	3.142951305	4.480861192
2370	3.142809321	4.480658723
2375	3.142523491	4.480302898
2380	3.142135027	4.479782046
2385	3.141788574	4.479409294
2390	3.141611493	4.479170193
2395	3.141467115	4.478959813
2400	3.141078918	4.478475139
2405	3.140849987	4.478209627
2410	3.140596596	4.477904673
2415	3.140353573	4.477610861
2420	3.140134215	4.477344347
2425	3.139979468	4.477158111
2430	3.139880292	4.477027694
2435	3.139614137	4.476601019
2440	3.139215304	4.475958792
2445	3.138909532	4.475611385
2450	3.138602165	4.475278211
2455	3.138297457	4.474893913
2460	3.138007638	4.474548563
2465	3.137643636	4.474080052
2470	3.13737243	4.473711816
2475	3.137159453	4.473386584
2480	3.137065329	4.473266042
2485	3.136930523	4.47309842
2490	3.136793059	4.472943631
2495	3.136519193	4.47255937
2500	3.136289997	4.472217169
2505	3.136008421	4.471817624
2510	3.135817779	4.471546246
2515	3.135618894	4.471304823
2520	3.135471592	4.471111199
2525	3.135293181	4.47089354
2530	3.135182305	4.470747001
2535	3.134872811	4.470352559
2540	3.134558796	4.470009475
2545	3.134389159	4.469822695
2550	3.134197454	4.469610447
2555	3.134018245	4.469347502
2560	3.133744911	4.469035755
2565	3.133633504	4.46890748
2570	3.133488595	4.468730888
2575	3.133344217	4.468524538
2580	3.133162881	4.468291996
2585	3.133057589	4.468171793
2590	3.132716986	4.467757365
2595	3.132598931	4.467592393
2600	3.132451895	4.467393132
2605	3.132188665	4.46706744
2610	3.132029398	4.466851489
2615	3.131879702	4.466662434
2620	3.131735325	4.466495278
2625	3.131476083	4.466184046
2630	3.13133729	4.466024493
2635	3.131137341	4.465758955
2640	3.130732127	4.465273087
2645	3.130466504	4.464947955
2650	3.130157276	4.464573249
2655	3.129969824	4.464341216
2660	3.129850972	4.464207327
2665	3.12972175	4.464049133
2670	3.129510901	4.463778474
2675	3.129232781	4.463410818
2680	3.12900199	4.463101278
2685	3.128892444	4.462964254
2690	3.128710576	4.462710212
2695	3.128582949	4.462560067
2700	3.128498928	4.462444953
2705	3.128289408	4.462180394
2710	3.128097436	4.46192297
2715	3.127922482	4.461726317
2720	3.127573636	4.461286259
2725	3.127417559	4.461109603
2730	3.127040529	4.460615838
2735	3.126868499	4.460411258
2740	3.126738746	4.460242914
2745	3.126369692	4.459800086
2750	3.126210425	4.459613594
2755	3.126047701	4.459398475
2760	3.125933901	4.459250604
2765	3.12568237	4.458977984
2770	3.125530548	4.458793366
2775	3.125367292	4.458583932
2780	3.125184626	4.458370672
2785	3.125041578	4.458186744
2790	3.124919004	4.457988256
2795	3.124776753	4.457817673
2800	3.124639821	4.457653049
2805	3.124505015	4.457464797
2810	3.124287252	4.457206623
2815	3.124145534	4.457014534
2820	3.124051409	4.456883527
2825	3.123928037	4.456739391
2830	3.12377329	4.456528667
2835	3.123684749	4.456427001
2840	3.123327128	4.455939638
2845	3.123152174	4.455691163
2850	3.12291314	4.455375357
2855	3.122610293	4.455031836
2860	3.122469903	4.454873316
2865	3.122320208	4.454658206
2870	3.122117069	4.45439223
2875	3.121845597	4.454040992
2880	3.121579176	4.453711219
2885	3.121506057	4.453550264
2890	3.121273139	4.453232634
2895	3.121045006	4.452990934
2900	3.120875103	4.452715304
2905	3.120644312	4.452432251
2910	3.120412457	4.45214297
2915	3.120186452	4.451882576
